Date,Open,High,Low,Close,Adj Close,Volume
2022-08-26,320.279999,321.510010,307.350006,307.440002,305.263550,69047700
2022-08-29,304.619995,307.220001,303.279999,304.410004,302.255035,48321900
2022-08-30,306.100006,306.730011,298.440002,301.019989,298.889008,51184500
2022-08-31,303.989990,304.910004,299.160004,299.269989,297.151428,50044000
2022-09-01,296.720001,299.779999,292.950012,299.399994,297.280487,57990700
2022-09-02,302.339996,303.750000,293.519989,295.170013,293.080475,64666800
2022-09-06,295.660004,296.600006,290.869995,293.049988,290.975433,57005400
2022-09-07,293.540009,299.989990,293.269989,298.970001,296.853516,49260400
2022-09-08,296.850006,301.869995,295.450012,300.519989,298.392548,55649800
2022-09-09,302.829987,307.600006,300.519989,307.089996,304.916046,56125200
2022-09-12,308.500000,311.079987,308.179993,310.739990,308.540192,45905700
2022-09-13,301.799988,303.019989,292.790009,293.700012,291.620819,79562200
2022-09-14,294.869995,296.929993,293.059998,296.029999,293.934326,54907200
2022-09-15,294.070007,296.529999,289.459991,291.100006,289.039246,65299400
2022-09-16,287.720001,289.720001,285.619995,289.320007,287.271851,79920400
2022-09-19,286.100006,291.209991,286.040009,291.049988,289.508942,52613800
2022-09-20,288.489990,291.070007,286.380005,288.730011,287.201233,51271100
2022-09-21,289.589996,293.950012,283.420013,283.559998,282.058624,82931000
2022-09-22,282.000000,283.029999,278.820007,280.070007,278.587097,62757100
2022-09-23,277.549988,277.850006,272.019989,275.510010,274.051239,74815200
2022-09-26,275.029999,279.489990,273.559998,274.369995,272.917236,71176700
2022-09-27,277.809998,280.209991,272.109985,274.480011,273.026672,69780100
2022-09-28,274.459991,281.250000,272.950012,279.940002,278.457733,79652100
2022-09-29,275.859985,276.250000,268.839996,271.869995,270.430481,81216000
2022-09-30,271.029999,275.190002,267.100006,267.260010,265.844910,78482400
2022-10-03,269.070007,275.160004,267.529999,273.529999,272.081696,61267400
2022-10-04,278.989990,282.850006,278.989990,282.130005,280.636169,66696900
2022-10-05,278.279999,283.809998,275.420013,281.980011,280.486969,55766300
2022-10-06,280.959991,284.179993,279.429993,279.760010,278.278687,53489400
2022-10-07,275.019989,275.149994,267.739990,269.100006,267.675171,71354700
2022-10-10,269.299988,269.700012,263.640015,266.410004,264.999420,60393000
2022-10-11,264.700012,267.630005,261.029999,262.750000,261.358795,66522500
2022-10-12,263.399994,265.359985,261.950012,262.660004,261.269257,50580200
2022-10-13,255.160004,270.170013,254.259995,268.820007,267.396667,112894100
2022-10-14,271.200012,271.809998,260.140015,260.739990,259.359406,77244300
2022-10-17,266.839996,270.239990,266.739990,269.350006,267.923859,64576500
2022-10-18,276.529999,277.209991,268.739990,271.480011,270.042572,69781000
2022-10-19,269.929993,273.679993,268.070007,270.489990,269.057800,53115400
2022-10-20,269.579987,274.839996,267.920013,269.109985,267.685120,60605500
2022-10-21,267.980011,275.970001,266.820007,275.420013,273.961700,77897700
2022-10-24,275.690002,279.399994,271.970001,278.450012,276.975647,63963600
2022-10-25,279.410004,284.600006,277.899994,284.209991,282.705170,59014500
2022-10-26,278.459991,283.980011,277.429993,277.929993,276.458435,63492400
2022-10-27,276.790009,278.279999,272.339996,272.869995,271.425201,57760300
2022-10-28,272.230011,281.700012,272.059998,281.220001,279.730988,62651300
2022-10-31,278.920013,279.760010,275.989990,277.950012,276.478333,47742000
2022-11-01,281.500000,282.070007,274.739990,275.109985,273.653320,45895900
2022-11-02,275.079987,278.209991,265.609985,265.679993,264.273254,79803100
2022-11-03,263.010010,264.500000,260.100006,260.489990,259.110748,70038900
2022-11-04,265.529999,266.609985,259.079987,264.679993,263.278534,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,266.173157,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,268.112823,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,261.925751,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,281.252869,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,286.435272,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,283.928680,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,287.857727,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,283.928680,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,283.301971,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,283.311920,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,280.397461,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,284.435974,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,287.290741,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,285.400818,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,281.213074,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,279.084412,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,291.806702,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,292.164795,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,291.000977,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,286.117035,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,280.188507,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,279.044617,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,282.347076,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,280.546631,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,284.067902,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,287.121643,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,284.993011,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,275.423920,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,272.797882,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,268.964111,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,268.754700,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,272.653351,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,265.982819,60278400
2022-12-23,265.470001,268.040009,263.529999,267.359985,266.581055,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,262.812073,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,259.342224,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,265.663727,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,265.504211,37858300
2023-01-03,268.649994,270.149994,262.130005,264.480011,263.709442,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,264.965790,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,260.817902,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,268.016846,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,269.751801,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,272.035126,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,276.741364,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,278.236969,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,280.151398,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,280.719757,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,277.070435,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,274.348358,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,281.856415,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,288.118134,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,287.529846,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,286.891724,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,292.485382,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,295.396881,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,289.424316,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,293.761627,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,300.043304,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,310.811829,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,305.287964,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,302.705505,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,308.977203,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,303.483246,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,300.801086,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,298.826843,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,303.612854,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,305.856293,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,308.199463,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,302.416351,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,300.282593,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,293.173370,46526700
2023-02-22,294.619995,296.359985,292.559998,294.250000,293.392731,51389200
2023-02-23,297.970001,298.130005,292.549988,296.820007,295.955261,69294400
2023-02-24,291.760010,292.970001,290.049988,291.850006,290.999725,74332000
2023-02-27,295.070007,296.489990,293.339996,293.940002,293.083618,48995000
2023-02-28,293.299988,296.119995,292.959991,293.559998,292.704712,48243100
2023-03-01,293.260010,293.929993,290.200012,291.200012,290.351624,58287000
2023-03-02,288.660004,294.429993,288.369995,293.609985,292.754578,53565900
2023-03-03,295.390015,299.920013,294.869995,299.679993,298.806885,60511500
2023-03-06,300.940002,304.000000,299.820007,300.019989,299.145905,56736300
2023-03-07,300.070007,301.010010,295.720001,296.339996,295.476624,65955800
2023-03-08,296.769989,298.429993,294.880005,297.820007,296.952332,50876300
2023-03-09,298.329987,300.980011,291.829987,292.660004,291.807343,71456700
2023-03-10,292.829987,294.350006,287.380005,288.549988,287.709320,98593600
2023-03-13,286.730011,294.470001,285.190002,290.690002,289.843109,97123600
2023-03-14,294.309998,297.929993,293.450012,297.369995,296.503632,73602500
2023-03-15,294.709991,299.269989,293.239990,298.929993,298.059082,83631500
2023-03-16,298.000000,307.179993,297.190002,306.809998,305.916107,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,304.470337,89923700
2023-03-20,304.260010,306.299988,302.010010,305.970001,305.550873,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,309.914886,49757000
2023-03-22,310.269989,315.250000,305.950012,306.119995,305.700653,75791900
2023-03-23,309.920013,314.149994,307.010010,309.750000,309.325684,74576000
2023-03-24,309.320007,310.989990,306.950012,310.890015,310.464142,57195200
2023-03-27,311.600006,312.700012,307.890015,308.760010,308.337067,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,306.699280,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,312.291626,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,315.247559,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,320.490387,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,319.711456,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,318.632935,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,315.487244,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,317.614319,46916500
2023-04-10,315.070007,317.920013,313.250000,317.869995,317.434570,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,315.397339,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,312.611206,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,318.732819,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,318.133606,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,318.403229,43007000
2023-04-18,320.989990,321.420013,317.640015,318.859985,318.423187,46746900
